adoption_year	name	slug	original_slug	has_blog_text	has_image
2024	Lady	lady-2024	lady-2024	yes	yes
2024	Luna Nova	luna-nova-2024	luna-nova-2024	yes	yes
2024	Ember	ember-2024	ember-2024	yes	yes
2025	Zelda	zelda-2025	zelda-2025	yes	yes
2024	Skoll	skoll-2024	skoll-2024	yes	yes
2025	Bruno	bruno-2025	bruno-2025	yes	yes
2025	Duke	duke-2025	duke-2025	yes	yes
2025	Erza	erza-2025	erza-2025	yes	yes
2025	Bella	bella-2025	bella-2025	yes	yes
2024	Korben	korben-2024	korben-2024	yes	yes
2025	Donut	donut-2025	donut-2025	yes	yes
2025	Tiny Tim	tiny-tim-2025	tiny-tim-2025	yes	yes
2025	Maximus	maximus-2025	maximus-2025	yes	yes
2025	Lilah	lilah-2025	lilah-2025	yes	yes
2025	Hennessey	hennessey-2025	hennessey-2025	yes	yes
2025	Harley	harley-brindle-2025	harley-brindle-2025	no	yes
2025	Bruno	bruno-fawn-2025	bruno-fawn-2025	yes	yes
2025	Onyx	onyx-2025	onyx-2025	yes	yes
2025	Drakeo	dakota-2025	dakota-2025	no	yes
2025	Sven	sven-2025	sven-2025	yes	yes
2025	Velma	velma-2025	velma-2025	yes	yes
2025	Scooby	scooby-2025	scooby-2025	yes	yes
2025	Echo	echo-2025	echo-2025	yes	yes
2025	Harley	harley-merle-2025	harley-merle-2025	yes	yes
2025	Bee	bee-2025	bee-2025	yes	yes
2025	Bolt	bolt-2025	bolt-2025	yes	yes
2025	Groot	groot-2025	groot-2025	yes	yes
2025	Lady	lady-2025	lady-2025	yes	yes
2025	Phantom	phantom-2025	phantom-2025	yes	yes
2025	Josie	josie-2025	josie-2025	yes	yes
2025	Jack	jack-2025	jack-2025	yes	yes
2025	Merle	merle-2025	merle-2025	yes	yes
2025	Blue	blue-2025	blue-2025	yes	yes
2025	Tux	tux-2025	tux-2025	yes	yes
