_id	slug	title	publishedAt	adoptionDate	year_field	canonical_year	_createdAt
adoptionSuccess-2024-2024046	oreo-2024046	Oreo		2024-09-25	2024	2024	2026-02-09T18:01:10Z
adoptionSuccess-2024-2024042	maivis-2024042	Maivis		2024-09-17	2024	2024	2026-02-09T18:00:53Z
adoptionSuccess-2024-2024052	niko-2024052	Niko		2024-09-09	2024	2024	2026-02-09T18:01:07Z
adoptionSuccess-2024-2024060	clementine-2024060	Clementine		2024-09-09	2024	2024	2026-02-09T17:59:42Z
adoptionSuccess-2024-2024056	belle-2024056	Belle		2024-09-06	2024	2024	2026-02-09T17:59:30Z
adoptionSuccess-2024-2024040	luna-2024040	Luna		2024-08-28	2024	2024	2026-02-09T18:00:41Z
adoptionSuccess-2024-2024021	cowboy-2024021	Cowboy		2024-08-17	2024	2024	2026-02-09T17:59:49Z
adoptionSuccess-2024-2024034	remus-2024034	Remus		2024-08-17	2024	2024	2026-02-09T18:01:15Z
adoptionSuccess-2024-2024027	ryven-2024027	Ryven		2024-08-05	2024	2024	2026-02-09T18:01:17Z
adoptionSuccess-2024-2024025	stetson-2024025	Stetson		2024-07-27	2024	2024	2026-02-09T18:01:38Z
adoptionSuccess-2024-2024035	apollo-2024035	Apollo		2024-07-17	2024	2024	2026-02-09T17:59:17Z
adoptionSuccess-2024-2024039	harlem-2024039	Harlem		2024-07-17	2024	2024	2026-02-09T18:00:18Z
adoptionSuccess-2024-2024019	ella-2024019	Ella		2024-07-07	2024	2024	2026-02-09T18:00:12Z
adoptionSuccess-2024-2024031	vader-2024031	Vader		2024-07-06	2024	2024	2026-02-09T18:01:53Z
adoptionSuccess-2024-2024026	blue-harl-2024026	Blue Harl		2024-07-03	2024	2024	2026-02-09T17:59:36Z
adoptionSuccess-2024-2024030	millie-2024030	Millie		2024-06-25	2024	2024	2026-02-09T18:01:03Z
adoptionSuccess-2024-2024008	coffee-bean-2024008	Coffee Bean		2024-06-24	2024	2024	2026-02-09T17:59:46Z
adoptionSuccess-2024-2024022	duke-2024022	Duke		2024-06-21	2024	2024	2026-02-09T18:00:06Z
adoptionSuccess-2024-2024033	thor-2024033	Thor		2024-06-21	2024	2024	2026-02-09T18:01:42Z
